ID,Language_ID,Parameter_ID,Form,InterRater_Segments,Segments,reliability_binary
Cavinena-seventy-1,Cavinena,seventy,pakarʊkʊ tʊŋka,p a k a r ʊ k ʊ + t ʊ ŋ k a,p a k a r ʊ k ʊ + t ʊ ŋ k a,1
Cheyenne-fiftynine-1,Cheyenne,fiftynine,nóhónó'e hóhta sóohto,n ó h ó + n ó ʔ è + h ó h t a + s óː h t ò,n ó h ó + n ó ʔ è + h ó h t a + s óː h t ò,1
Cheyenne-ten-1,Cheyenne,ten,mȧhtohto,m ḁ t ò h t ò,m ḁ t ò h t ò,1
Cheyenne-eight-1,Cheyenne,eight,na'nohto,n à ʔ n ò h t ò,n à ʔ n ò h t ò,1
Cheyenne-sixtyfour-1,Cheyenne,sixtyfour,naesóhtȯhnó'e hóhta neve,n àː s ó h t o̥ + n ó ʔ è + h ó h t a + n è v è,n àː s ó h t o̥ + n ó ʔ è + h ó h t a + n è v è,1
Cheyenne-fiftythree-1,Cheyenne,fiftythree,nóhónó'e hóhta na'he,n ó h ó + n ó ʔ è + h ó h t a + n à ʔ h è,n ó h ó + n ó ʔ è + h ó h t a + n à ʔ h è,1
Cheyenne-eightysix-1,Cheyenne,eightysix,na'nóhtȯhnó'e hóhta naesohto,n à ʔ n ó h t o̥ + n ó ʔ è + h ó h t a + n àː s ò h t ò,n à ʔ n ó h t o̥ + n ó ʔ è + h ó h t a + n àː s ò h t ò,1
Cheyenne-nine-1,Cheyenne,nine,sóohto,s óː h t ò,s óː h t ò,1
Cheyenne-seven-1,Cheyenne,seven,nésohto,n é s ò h t ò,n é s ò h t ò,1
Cheyenne-fiftyone-1,Cheyenne,fiftyone,nóhónó'e hóhta na'ėstse,n ó h ó + n ó ʔ è + h ó h t a + n à ʔ e̥ s ts è,n ó h ó + n ó ʔ è + h ó h t a + n à ʔ e̥ s ts è,1
Cheyenne-seventyeight-1,Cheyenne,seventyeight,nésȯhtȯhnó'e hóhta na'nohto,n é s o̥ t o̥ + n ó ʔ è + h ó h t a + n à ʔ n ò h t ò,n é s o̥ t o̥ + n ó ʔ è + h ó h t a + n à ʔ n ò h t ò,1
Cheyenne-twentythree-1,Cheyenne,twentythree,nésó'e hóhta na'he,n é s + ó ʔ è + h ó h t a + n à ʔ h è,n é s + ó ʔ è + h ó h t a + n à ʔ h è,1
Cheyenne-twelve-2,Cheyenne,twelve,hóhta neše,h ó h t a + n è ʃ è,h ó h t a + n è ʃ è,1
Cheyenne-seventyone-1,Cheyenne,seventyone,nésȯhtȯhnó'e hóhta na'ėstse,n é s o̥ t o̥ + n ó ʔ è + h ó h t a + n à ʔ e̥ s ts è,n é s o̥ t o̥ + n ó ʔ è + h ó h t a + n à ʔ e̥ s ts è,1
Chiquitano-fiftytwo-1,Chiquitano,fiftytwo,matuto,m a + t u + t o,m a + t u + t o,1
Chiquitano-twenty-1,Chiquitano,twenty,totu,t o + t u,t o + t u,1
Chiquitano-sixtyseven-1,Chiquitano,sixtyseven,patukɨ,p a + t u + k ɨ,p a + t u + k ɨ,1
Chiquitano-two-1,Chiquitano,two,to,t o,t o,1
Chiquitano-sixteen-1,Chiquitano,sixteen,tupa,t u + p a,t u + p a,1
Chiquitano-fiftythree-1,Chiquitano,fiftythree,matune,m a + t u + n e,m a + t u + n e,1
Chiquitano-sixty-1,Chiquitano,sixty,patu,p a + t u,p a + t u,1
Chiquitano-three-1,Chiquitano,three,ne,n e,n e,1
Chiquitano-sixtynine-1,Chiquitano,sixtynine,patuku,p a + t u + k u,p a + t u + k u,1
Chiquitano-ten-1,Chiquitano,ten,tu,t u,t u,1
Chiquitano-one-2,Chiquitano,one,taman,t a m a n,t a m a n,1
Chiquitano-seventeen-1,Chiquitano,seventeen,tukɨ,t u + k ɨ,t u + k ɨ,1
Chiquitano-thirtyfour-1,Chiquitano,thirtyfour,netunu,n e + t u + n u,n e + t u + n u,1
Chiquitano-fiftyfive-1,Chiquitano,fiftyfive,matuma,m a + t u + m a,m a + t u + m a,1
Classical_Syriac-ninetyfive-1,Classical_Syriac,ninetyfive,teʃʕinwħamʃaː,t e ʃ ʕ + i n + w + ħ a m ʃ aː,t e ʃ ʕ + i n + w + ħ a m ʃ + aː,0
Classical_Syriac-seventyone-1,Classical_Syriac,seventyone,ʃavʕinwħað,ʃ a v ʕ + i n + w + ħ a ð,ʃ a v ʕ + i n + w + ħ a ð,1
Classical_Syriac-fiftyfour-2,Classical_Syriac,fiftyfour,ħamʃinwʔarbaʕ,ħ a m ʃ + i n + w + ʔ a r b a ʕ,ħ a m ʃ + i n + w + ʔ a r b a ʕ,1
Classical_Syriac-ten-2,Classical_Syriac,ten,ʕsar,ʕ s a r,ʕ s a r,1
Classical_Syriac-fiftyseven-2,Classical_Syriac,fiftyseven,ħamʃinwaʃvaʕ,ħ a m ʃ + i n + w a + ʃ v a ʕ,ħ a m ʃ + i n + w a + ʃ v a ʕ,1
Classical_Syriac-seventyeight-1,Classical_Syriac,seventyeight,ʃavʕinwaθmaːnjaː,ʃ a v ʕ + i n + w a + θ m aː n j aː,ʃ a v ʕ + i n + w a + θ m aː n j + aː,0
Classical_Syriac-sixtythree-4,Classical_Syriac,sixtythree,ʃtinwaθlaːθ,ʃ t + i n + w a + θ l aː θ,ʃ t + i n + w a + θ l aː θ,1
Classical_Syriac-thirtytwo-2,Classical_Syriac,thirtytwo,tlaːθinwtarten,t l aː θ + i n + w + t a r t e n,t l aː θ + i n + w + t a r + t + e n,0
Classical_Syriac-twelve-1,Classical_Syriac,twelve,treʕsar,t r + e + ʕ s a r,t r + e + ʕ s a r,1
Classical_Syriac-twentyseven-2,Classical_Syriac,twentyseven,ʕesrinwaʃvaʕ,ʕ e s r + i n + w a + ʃ v a ʕ,ʕ e s r + i n + w a + ʃ v a ʕ,1
Classical_Syriac-seventyfive-1,Classical_Syriac,seventyfive,ʃavʕinwħamʃaː,ʃ a v ʕ + i n + w + ħ a m ʃ aː,ʃ a v ʕ + i n + w + ħ a m ʃ + aː,0
Classical_Syriac-sixtyfive-4,Classical_Syriac,sixtyfive,ʃtinwħameʃ,ʃ t + i n + w + ħ a m e ʃ,ʃ t + i n + w + ħ a m e ʃ,1
Classical_Syriac-twentyfour-1,Classical_Syriac,twentyfour,ʕesrinwʔarbʕaː,ʕ e s r + i n + w + ʔ a r b ʕ aː,ʕ e s r + i n + w + ʔ a r b ʕ + aː,0
Classical_Syriac-eightythree-2,Classical_Syriac,eightythree,tmaːninwaθlaːθ,t m aː n + i n + w a + θ l aː θ,t m aː n + i n + w a + θ l aː θ,1
Classical_Syriac-eight-2,Classical_Syriac,eight,tmaːne,t m aː n e,t m aː n e,1
Classical_Syriac-fourteen-2,Classical_Syriac,fourteen,ʔarbaʕesre,ʔ a r b a + ʕ e s r e,ʔ a r b a + ʕ e s r + e,0
Classical_Syriac-nineteen-2,Classical_Syriac,nineteen,tʃaʕesre,t ʃ a + ʕ e s r e,t ʃ a + ʕ e s r + e,0
Classical_Syriac-sixtysix-1,Classical_Syriac,sixtysix,ʔeʃtinwaʃtaː,ʔ e ʃ t + i n + w a + ʃ t aː,ʔ e ʃ t + i n + w a + ʃ t + aː,0
Classical_Syriac-fiftyfive-2,Classical_Syriac,fiftyfive,ħamʃinwħameʃ,ħ a m ʃ + i n + w + ħ a m e ʃ,ħ a m ʃ + i n + w + ħ a m e ʃ,1
Classical_Syriac-fortynine-2,Classical_Syriac,fortynine,ʔarbʕinwaθʃaʕ,ʔ a r b ʕ + i n + w a + θ ʃ a ʕ,ʔ a r b ʕ + i n + w a + θ ʃ a ʕ,1
Classical_Syriac-sixtyfour-1,Classical_Syriac,sixtyfour,ʔeʃtinwʔarbʕaː,ʔ e ʃ t + i n + w + ʔ a r b ʕ aː,ʔ e ʃ t + i n + w + ʔ a r b ʕ + aː,0
Classical_Syriac-seventytwo-1,Classical_Syriac,seventytwo,ʃavʕinwaθren,ʃ a v ʕ + i n + w a + θ r e n,ʃ a v ʕ + i n + w a + θ r + e n,0
Classical_Syriac-ninetyeight-2,Classical_Syriac,ninetyeight,teʃʕinwaθmaːne,t e ʃ ʕ + i n + w a + θ m aː n e,t e ʃ ʕ + i n + w a + θ m aː n e,1
Classical_Syriac-ninetytwo-1,Classical_Syriac,ninetytwo,teʃʕinwaθren,t e ʃ ʕ + i n + w a + θ r e n,t e ʃ ʕ + i n + w a + θ r + e n,0
Classical_Syriac-ninetyfive-2,Classical_Syriac,ninetyfive,teʃʕinwħameʃ,t e ʃ ʕ + i n + w + ħ a m e ʃ,t e ʃ ʕ + i n + w + ħ a m e ʃ,1
Classical_Syriac-fifty-1,Classical_Syriac,fifty,ħamʃin,ħ a m ʃ + i n,ħ a m ʃ + i n,1
Czech-thirtyseven-1,Czech,thirtyseven,tr̝ɪtsɛt sɛdm,t r̝ ɪ + ts ɛ t + s ɛ d m,t r̝ ɪ + ts ɛ t + s ɛ d m,1
Czech-eightyseven-1,Czech,eightyseven,osmdɛsaːt sɛdm,o s m + d ɛ s aː t + s ɛ d m,o s m + d ɛ s aː t + s ɛ d m,1
Czech-twenty-1,Czech,twenty,dvatsɛt,d v a + ts ɛ t,d v a + ts ɛ t,1
Czech-twentyfour-1,Czech,twentyfour,dvatsɛt tʃtɪr̝ɪ,d v a + ts ɛ t + tʃ t ɪ r̝ ɪ,d v a + ts ɛ t + tʃ t ɪ r̝ ɪ,1
Czech-twentytwo-1,Czech,twentytwo,dvatsɛt dva,d v a + ts ɛ t + d v a,d v a + ts ɛ t + d v a,1
Czech-twentyseven-1,Czech,twentyseven,dvatsɛt sɛdm,d v a + ts ɛ t + s ɛ d m,d v a + ts ɛ t + s ɛ d m,1
